32x_tempop4,"节奏 (美国, 原型版, 19950126)"
32x_tempop5,"节奏 (美国, 原型版, 19950124)"
32x_tempop6,"节奏 (原型版, 19950121)"
32x_tempop7,"节奏 (原型版, 19941229)"
32x_tmek,"军阀 (欧洲, 美国)"
32x_toughman,"硬汉争霸 (欧洲, 美国)"
32x_vf,VR战士 (欧洲)
32x_vfju,"VR战士 (日本, 美国)"
32x_vfp,"VR战士 (美国, 原型版, 19950725)"
32x_vfp1,"VR战士 (美国, 原型版, 19950724)"
32x_vfp2,"VR战士 (美国, 原型版, 19950721)"
32x_vfp3,"VR战士 (美国, 原型版, 19950717)"
32x_vfp4,"VR战士 (原型版, 19950630)"
32x_vfp5,"VR战士 (原型版, 19950615)"
32x_vfp6,"VR战士 (原型版, 19950530)"
32x_vham,"虚拟仓鼠 (美国, 原型版)"
32x_vrdx,虚拟赛车-豪华版 (欧洲)
32x_vrdxj,虚拟赛车-豪华版 (日本)
32x_vrdxp,"虚拟赛车-豪华版 (美国, 原型版, 19940905)"
32x_vrdxp1,"虚拟赛车-豪华版 (美国, 原型版, 19940829)"
32x_vrdxp2,"虚拟赛车-豪华版 (原型版, 19940822)"
32x_vrdxu,虚拟赛车-豪华版 (美国)
32x_wsb,迪昂桑德斯-世界系列棒球 (美国)
32x_wwfag,WWF狂热职业摔跤-街机游戏 (美国)
32x_wwfraw,WWF世界摔角联盟 (世界)
32x_xmen,"X战警 (美国, 原型版)"
a2600_32in1,32 合 1 (PAL)
a2600_actforce,暴逆先锋 (PAL)
a2600_airraid,空袭 (PAL)
a2600_alien,异形 (20th Century Fox)
a2600_alienc,异形 (CCE)
a2600_amidar,雷达
a2600_amidare,雷达 (PAL)
a2600_angriff,安格里夫的空袭
a2600_artduel,火炮决斗
a2600_artduele,火炮决斗 (PAL)
a2600_assault,星河战队
a2600_asterix,美丽新世界 - 阿斯特瑞克斯 (PAL)
a2600_asterixp,"美丽新世界 - 阿斯特瑞克斯 (NTSC, 原型版)"
a2600_asteroid,小行星
a2600_asteroid1,小行星 (较老的?)
a2600_asteroide,"小行星 (PAL, 较老的)"
a2600_asteroide03,"小行星 (PAL, 修订版 03)"
a2600_asteroide06,"小行星 (PAL, 修订版 06)"
a2600_astrchas,飞碟射击 (原型版)
a2600_ateam,A字特攻队 (原型版 19840330)
a2600_ateamp1,A字特攻队 (原型版 19840508)
a2600_ateamp2,A字特攻队 (PAL) (原型版)
a2600_atlantis,亚特兰蒂斯 (Imagic)
a2600_atlantis1,亚特兰蒂斯 (CCE)
a2600_atlantisa,亚特兰蒂斯 (Activision)
a2600_atlantisc,亚特兰蒂斯 (CCE) (替换版)
a2600_atlantisd,亚特兰蒂斯 (Digitel)
a2600_atlantisda,亚特兰蒂斯 (Dactari / Milmar)
a2600_atlantisdy,亚特兰蒂斯 (Dynacom)
a2600_atlantise,亚特兰蒂斯 (PAL) (Imagic)
a2600_autorenn,赛车轮毂 (PAL)
a2600_backgamm,西洋双陆棋
a2600_backgamme,西洋双陆棋 (PAL)
a2600_bankheis,银行抢劫
a2600_bankheise,银行抢劫 (PAL)
a2600_baseball,棒球 (PAL)
a2600_bchtprty,女子单身派对连连乐
a2600_bdash,岩层冲刺 (Demo v2)
a2600_bdash1,岩层冲刺 (Demo v1)
a2600_beamridr,激光骑士
a2600_beamridre,激光骑士 (PAL)
a2600_bermtria,百慕大三角
a2600_bermtriae,百慕大三角 (PAL)
a2600_bermuda,百慕大群岛 (Rainbow Vision)
a2600_bermudae,百慕大群岛 (PAL)
a2600_bermudast,百慕大群岛 (Starsoft)
a2600_berzerk,迷宫射击
a2600_berzerkc,迷宫射击 (CCE)
a2600_berzerke,迷宫射击 (PAL)
a2600_berzerke1,迷宫射击 (PAL) (未知)
a2600_berzerke2,"迷宫射击 (PAL) (anknown, 替换版)"
a2600_bingo,75宾果 (PAL)
a2600_blackhol,黑洞 (PAL)
a2600_blckjacke,黑捷克 (PAL)
a2600_blckjacke1,黑捷克 (PAL) (未知)
a2600_bnj,碰碰飞车
a2600_bnje,碰碰飞车 (PAL)
a2600_boombang,爆破 (CCE)
a2600_boombang1,爆破 (未知)
a2600_boombange,爆破 (PAL) (HES)
a2600_boombange1,爆破 (PAL) (未知)
a2600_boombanges,爆破 (PAL) (Suntek)
a2600_bowling,保龄球
a2600_bowlinge,保龄球 (PAL)
a2600_bowlingm,保龄球 (Milmar)
a2600_boxingc,拳击 (CCE)
a2600_boxinge1,拳击 (PAL)
a2600_boxingm,拳击 (Milmar)
a2600_breakoute,爆发 (PAL)
a2600_bsktball,篮球
a2600_bsktballe,篮球 (PAL)
a2600_btime,汉堡时代
a2600_buckrog,巴克罗杰斯-行星区域
a2600_buckroge,巴克罗杰斯-行星区域 (PAL)
a2600_burndesi,欲望燃烧
a2600_burndesie,欲望燃烧 (PAL)
a2600_bzone,战区
a2600_bzonee,战区 (PAL)
a2600_bzonep1,战区 (原型版 19830502)
a2600_bzonep2,战区 (原型版 19830512)
a2600_calgames,加州运动
a2600_calgamese,加州运动 (PAL)
a2600_canyonb,峡谷轰炸机
a2600_carnival,狂欢节
a2600_carnivale,狂欢节 (PAL)
a2600_casinoe,赌城小子 (PAL)
a2600_ccastles,水晶城堡
a2600_ccastlese,水晶城堡 (PAL)
a2600_ccastlesp,水晶城堡 (原型版 19840104)
a2600_cclimber,疯狂爬楼者
a2600_centiped,蜈蚣
a2600_centipede,蜈蚣 (PAL)
a2600_centipedep,蜈蚣 (PAL) (原型版)
a2600_centipedp,蜈蚣 (原型版)
a2600_checkers,跳棋
a2600_checkersssc,跳棋 (2600 Screen Search Console)
a2600_chmpsocre,足球锦标赛 (PAL)
a2600_chopcomm,直升机指令
a2600_chopcommc,直升机指令 (CCE)
a2600_chopcommc1,"直升机指令 (CCE, 替换版)"
a2600_chopcommd,直升机指令 (Digitel)
a2600_chopcommes,直升机指令 (PAL) (SuperVision)
a2600_chopcommssc,直升机指令 (2600 Screen Search Console)
a2600_chucknor,查克·诺里斯的超级踢
a2600_circus,马戏团
a2600_codebreke,GBA金手指密码工具 (PAL)
a2600_combate,战斗 (PAL)
a2600_comchess,计算机国际象棋 (原型版 19780707)
a2600_commando,战场之狼
a2600_commando1,战场之狼 (替换版 logo)
a2600_commandoe,战场之狼 (PAL)
a2600_congo,刚果阿古
a2600_congo1,刚果阿古 (替换版)
a2600_congoe,刚果阿古 (PAL)
a2600_cosmicav,宇宙复仇者 (PAL)
a2600_crossbow,弩手
a2600_crossbowe,弩手 (PAL)
a2600_custer,卡斯特的复仇
a2600_custere,卡斯特的复仇 (PAL)
a2600_ddragon,双截龙
a2600_ddragone,双截龙 (PAL)
a2600_ddragonec,双截龙 (PAL) (CCE)
a2600_decathln2,十项全能运动
a2600_defender,防御者
a2600_defenderc,防御者 (CCE)
a2600_defenderdv,防御者 (Digivision)
a2600_defendere,防御者 (PAL)
a2600_defendere1,防御者 (PAL) (未知)
a2600_defenderp,防御者 (原型版 198111xx)
a2600_defenderp1,防御者 (原型版 19811030)
a2600_defendr2,星际之门
a2600_defendr2e,星际之门 (PAL)
a2600_demonatk,恶魔进攻
a2600_demonatkc,恶魔进攻 (CCE)
a2600_demonatke,恶魔进攻 (PAL)
a2600_demonatke1,恶魔进攻 (PAL) (未知)
a2600_demonatkf,恶魔进攻 (修复?)
a2600_demonatkr,恶魔进攻 (Robby)
a2600_demonatks,恶魔进攻 (Supergame)
a2600_digdug,挖金子
a2600_digduge,挖金子 (PAL)
a2600_dkong,大金刚
a2600_dkonge,大金刚 (PAL)
a2600_dkongepb,大金刚 (PAL) (Pet Boat)
a2600_dkongjr,大金刚J
a2600_dkongjrc,大金刚JR (CCE)
a2600_dkongjre,大金刚J (PAL)
a2600_dkongjrt,大金刚Jr. (Tron)
a2600_dkongs,大金刚 (Star Game)
a2600_docastle,小丑先生的城堡
a2600_docastlep,小丑先生的城堡 (晚期 原型版)
a2600_docastlep1,小丑先生的城堡 (原型版 19840312)
a2600_dragfire,龙之火焰
a2600_dragfiree,龙之火焰 (PAL)
a2600_dragfiree1,龙之火焰 (PAL) (未知)
a2600_dune,沙丘 (原型版 19840710)
a2600_earthatt,地球攻击
a2600_elevator,电梯大战 (原型版)
a2600_elfadven,精灵历险 (原型版 19830525)
a2600_elfadven1,精灵历险 (原型版 19830502)
a2600_elfadven2,精灵历险 (原型版 19830422)
a2600_enduro,汽车耐力赛
a2600_enduro1,汽车耐力赛 (未知)
a2600_enduroc,汽车耐力赛 (CCE)
a2600_endurodi,汽车耐力赛 (Digitel)
a2600_endurodv,汽车耐力赛 (Digivision)
a2600_endurody,汽车耐力赛 (Dynacom)
a2600_enduroe1,汽车耐力赛 (PAL) (未知)
a2600_enduror,汽车耐力赛 (Robby)
a2600_enduros,汽车耐力赛 (Supergame)
a2600_endurot,汽车耐力赛 (Tron)
a2600_entewolf,僵尸鸭与僵尸狼 (PAL)
a2600_entombed,埋葬
a2600_esb,星球大战-帝国反击战
a2600_esbe,星球大战-帝国反击战 (PAL)
a2600_espial,星球战略
a2600_espiale,星球战略 (PAL)
a2600_et,外星人-着陆
a2600_etc,外星人-着陆 (CCE)
a2600_ete,外星人-着陆 (PAL)
a2600_f14,F-14雄猫 (PAL)
a2600_fatalrun,死亡冲刺 (PAL)
a2600_fatalrunp,死亡冲刺 (原型版)
a2600_fathom,深海探寻
a2600_fathome,深海探寻 (PAL)
a2600_festival,欢宴 (PAL)
a2600_feuerweh,消防车 (PAL)
a2600_ffighter,消防员
a2600_ffightere,消防员 (PAL)
a2600_finalapp,愛情泡泡糖
a2600_firebird,火鸟 (PAL)
a2600_flashg,飞侠哥顿 (PAL)
a2600_football,足球
a2600_footballe,足球 (PAL)
a2600_frantic,"狂热分数 (20140305, NTSC)"
a2600_freeway,自由之路
a2600_freewayc,自由之路 (CCE)
a2600_freewaym,自由之路 (Milmar)
a2600_freewayz,自由之路 (Zellers)
a2600_frogger,青蛙过街
a2600_froggere,青蛙过街 (PAL)
a2600_frontlin,前线
a2600_funkyfis,疯狂的鱼 (原型版)
a2600_fvoyage,怪诞旅程
a2600_galaxian,小蜜蜂
a2600_galaxianc,小蜜蜂 (CCE)
a2600_galaxiandv,小蜜蜂 (Digivision)
a2600_galaxiane,小蜜蜂 (PAL)
a2600_galaxianp1,小蜜蜂 (原型版 19830105)
a2600_galaxianp2,小蜜蜂 (原型版 19830204)
a2600_garfield,加菲猫 (原型版 19840621)
a2600_gauntlet,铁手套
a2600_ghostbs2,捉鬼敢死队2 (PAL)
a2600_ghostbs2a,捉鬼敢死队2 (PAL) (替换版 tune)
a2600_ghostbst,捉鬼特工队
a2600_ghostbste,捉鬼特工队 (PAL)
a2600_ghostman,鬼魂庄园
a2600_ghostmane,鬼魂庄园 (PAL)
a2600_golf,高尔夫
a2600_golfe,高尔夫 (PAL)
a2600_gorf,高尔夫
a2600_gorfe,高尔夫 (PAL)
a2600_gorfp,高尔夫 (原型版)
a2600_grandprx,国际长途大赛车
a2600_grandprxc,国际长途大赛车 (CCE)
a2600_grandprxc1,"国际长途大赛车 (CCE, 替换版)"
a2600_grandprxe,国际长途大赛车 (PAL)
a2600_grandprxe1,国际长途大赛车 (PAL) (未知)
a2600_grandprxr,国际长途大赛车 (Robby)
a2600_gravitar,银火
a2600_gravitarc,银火 (CCE)
a2600_gravitarp,银火 (原型版 19830412)
a2600_gremlins,小魔怪
a2600_gremlinsp,小魔怪 (原型版 19840312)
a2600_guardian,星球守护者
a2600_guardianp,星球守护者 (原型版)
a2600_gyruss,太空射击战
a2600_gyrusse,太空射击战 (PAL)
a2600_hangmane,刽子手 (PAL)
a2600_harem,回门
a2600_haunted,鬼屋 (NTSC)
a2600_hauntede,鬼屋 (PAL)
a2600_hauntedp,鬼屋 (原型版 09-28-81)
a2600_hero,直升机紧急救援行动
a2600_heroc,直升机紧急救援行动 (CCE)
a2600_herot,直升机紧急救援行动 (Tron)
a2600_icehockc,冰球 (CCE)
a2600_icehockebc,冰球 (PAL) (Bit Corporation)
a2600_ikari,怒
a2600_ikarie,怒 (PAL)
a2600_indy500e,印第安纳波利斯500 (PAL)
a2600_ixion,回旋炮台 (原型版)
a2600_jbond,詹姆斯邦德007
a2600_joust,鸟骑士
a2600_jouste,鸟骑士 (PAL)
a2600_joustp,鸟骑士 (原型版 19830809)
a2600_joustp1,鸟骑士 (原型版 19830705)
a2600_jrpacman,吃豆小精灵
a2600_jrpacmane,吃豆小精灵 (PAL)
a2600_jumpjack,跳跃杰克 (PAL)
a2600_jungleh,丛林求生记-丛林探险
a2600_junglehc,丛林求生记-丛林探险 (CCE)
a2600_junglehc1,"丛林求生记-丛林探险 (CCE, 替换版)"
a2600_junglehe,丛林求生记-丛林探险 (PAL)
a2600_junglehp1,丛林求生记-丛林探险 (原型版 19830225)
a2600_junglehp2,丛林求生记-丛林探险 (原型版 19830203)
a2600_kaboom,大爆炸
a2600_kaboomc,大爆炸 (CCE)
a2600_kangaroo,袋鼠
a2600_kangarooe,袋鼠 (PAL)
